PlayerId,PlayerName
1088,Boz Maria Cristina
1090,Kurachi Takayuki
1094,Haddad Michel
1097,Fujita Takeshi
1110,Di Cola Severino
1122,Nakayama Takahiro
1129,Fujisawa Yosuke
1132,Monnom Olivier
1139,Carpignano Marino
1142,Maartensson Mikael
1146,Fujisawa Shunsuke
1153,Okuda Tsuyoshi
1157,Grison Remi
1161,Goto Masahiro
1162,Miyaoka Tamaki
1171,Kim Kwansoo
1173,Miyazaki Toru
1174,Uno Toshihiro
1179,Herbeuval Olivier
1180,Lecat Renaud
1183,Vecchi Maria Serena
1185,Koiwai Katsuharu
1186,Kawagashira Kunihar
1187,Matsui Takashi
1189,Iacono Stefano
1191,Conte Marco
1193,Avenger (buijs)
1201,Exodus (hansson n)
1202,Haneda Masaki
1204,Juodele Marius
1205,Graulund Lars
1206,Kashiwabara Takuji
1209,Carando Cyril
1212,Corn (hansson o)
1213,Reinbold Christophe
1214,Reinbold Nathalie
1215,Muller Isabelle
1216,Sato Shinji
1220,Kagawa Yoichi
1224,Abe Toshiyuki
1232,Matreyek Ryan
1233,Hubbard Paul
1235,Kuroda Takuji
1240,Tatsumi Jun
1251,Brand Richard
1253,Isayama Jiro
1255,Yamaguchi Toshiya
1258,Otage (alliot)
1259,Sawada Takehiko
1261,Bersaglieri Daniela
1268,Turtle (letouzey)
1269,Seknadje Jose
1270,Booby (okuhara)
1272,Ishida Kazuaki
1274,Rotta Francesco
1277,Shifman Leonid
1278,Shifman Benjamin
1279,Shifman Ilya
1288,Zebra (andersson)
1291,Schreiber Raphael
1292,Sugiyama Mitsuaki
1293,OO7 (buro)
1297,Torri Marie-Christi
1298,Richard Elise
1299,Sasaki Sohei
1301,Scorpion (buro)
1305,Fang Randy
1307,Boardman Lisa
1308,Mann David
1309,Zouloumian Marie
1311,Runoth (takahashi)
1314,Komano Tatsuya
1316,Hara Naoki
1317,Andersson Gunnar
1318,Wu Hujai
1319,Andersson Goran
1324,Takashima Ryoji
1325,Michel Stephane
1326,Lang Frederic
1329,Unitest (hansson)
1336,Mak Wai Tung
1336,Mak Wai Tun
1339,Ferrando Marco
1340,Wong Kevin
1341,Buffalo (andersson)
1343,Andolfi Paolo
1358,Krejcik Roman
1359,Krzywonos Tim
1360,Fu Jacky
1364,Opg (de graaf)
1367,Mamaju (pinta)
1368,Edax (delorme)
1372,Basso Jean-Luc
1375,Auzende Frederic
1378,Morales Rafael
1380,Hayashi Yoshiyuki
1388,Amirante Andrea
1390,Lesmana Hendra
1391,Yiu Edmund
1392,Hidayat Romy
1395,Tsoi Chun Yip
1396,Steentoft Benkt
1398,Houdebine Roland
1400,Ivansson Lars
1402,Williams Eddie
1403,Suzuki Toshiji
1405,Sawada Tomohiro
1407,Grosso Luigi
1414,Horn Per
1415,Aagaard-Hansen Jens
1416,Badsted Palle
1417,Loro Ezio
1421,Kimura Hachiro
1423,Griepenburg Greg
1425,Dumast Pierrick
1431,Voracek Miroslav
1432,Pridmore Ben
1436,de Graaf Jan C.
1437,Nishiba Yasuo
1438,Corio Marc
1447,Orozco Jaime
1448,van de Zande Josber
1449,den Haan Frank
1452,Witting Sipke
1453,Rybarik Jan
1456,Hvezdova Jitka
1459,Voracek Zdenek
1460,Stastna Jan
1462,Rybarik Ivo
1463,Kvapil Martin
1464,Aoki Kazune
1466,Herve Jacqueline
1467,Carlach Jean-Claude
1468,Carlach Marie-Ange
1469,Molia Jean-Jacques
1470,Garneau Julian
1473,Wong Chi Yin
1475,Peillon Maureen
1476,Dumoulin Maureen
1480,Barot Jacques
1481,Ntest (welty)
1486,Hirai Toshimitsu
1487,Matsumoto Hiroyuki
1489,Sugase Takahiro
1490,Sasaki Sadayuki
1492,Masuda Kenji
1494,Rienzo Rosario
1498,Pamphlet (welty)
1512,Delisi Alice
1513,Horner Rusty
1514,Brewer Daniel
1515,Simpson Jerad
1516,de Lit Pierre
1517,Berg Matthias
1518,Kortendijk Albert
1519,Vuorela Sune
1524,Ogiwara Hidenori
1525,Okabayashi Noguchi
1526,Watanabe Keiichi
1528,Tanaka Norihiro
1529,Schack Thomas
1530,Vester Britta
1531,Yamada Yuichi
1532,Yamazaki Yoshihisa
1533,Hirakawa Yuki
1534,Sakae Satoshi
1535,Sato Tomoyuki
1537,Araki Kentaro
1538,Hoshino Yoshihiro
1545,Sanno Daiki
1547,Konii Shuichi
1550,Seeley Ben
1551,Lecomte Sebastien
1552,Hoehne Andreas
1553,Radzivilovsky Pavel
1558,Okamoto Kazuhiro
1559,Toothought (zinno)
1560,Largounez Guillaume
1563,Wunderle Justin
1564,Wong Alexis
1565,Ratonnat Corentin
1566,Nguyen David
1568,Privitera Francesco
1570,Mortola Stefano
1573,Mortola Martino
1576,Welty Chris
1577,Booklet (welty)
1578,Leaflet (welty)
1579,Severino Gianluca
1580,Lucchese Davide
1581,Del Vescovo Valerio
1582,le Comte Michiel
1583,Dufour Mark
1584,Plukker Jean
1585,Kool Jeroen
1587,Claassen Mathijs
1589,le Comte Marijne
1590,van der Laag Sjoerd
1591,Ilbrink Jarl
1595,Constandse Kanter
1596,Steneker Willem
1597,Plukker Marijke
1600,Rolland Clemence
1602,Margarit Eric
1603,Esaki Satoshi
1604,Suzuki Takahiro
1605,Hirano Yusaku
1607,Abe Fumihiro
1611,Ng Ka Fu
1612,Li Chun Wan
1615,Lam Dennis
1618,Leung Kai Wan
1620,Cheung Michael
1624,Poon Chun Hung
1626,Rowe Stephen
1627,Mitchell Louis
1628,Bartlett Darren
1629,Lees Anthony
1630,Despends David
1631,Ronca Antonello
1632,Guaita Gabriele
1633,Jacquet Francois
1634,Barbeau David
1635,Butin Pierre
1636,Vos Daan
1637,Steneker Annemieke
1638,Mulder Theo
1639,Dijcks John
1640,Kwerreveld Maaike
1641,Jacobsen Marlies
1642,van der Meche Narda
1643,Loesberg Marcel
1644,Riollet Bruno
1645,Spijkers Frank
1646,Jacobsen Frank
1647,Pels Peter
1648,Visser Roy
1649,Beeftink Marc
1650,Kanovsky Petr
1651,Kotinova Hana
1659,Pontonnier Jerome
1660,Clermont Sylvain
1661,Hawk (barker)
1662,Spencer Graham
1663,Caesar (tournaviti)
1664,Charly (tournaviti)
1665,Kramm Matthias
1666,Raijkard Thomas
1667,Takei Hiro
1668,Pryor Daniel
1669,McCann John
1670,Diamond Judith
1671,Brewer Adam
1672,Brewer Matt
1674,Kristensen Tanja
1675,Simonsen Kai Ulbaek
1676,Hansen Morten
1677,Nielsen Rene O.
1678,Komatsu Naoto
1679,Sato Yoshiaki
1680,Inoue Tetsuya
1681,Hoshi Hisako
1681,Kinoshita Hisako
1682,Hoshi Ryuichi
1683,Takenobu Kousuke
1684,Tsubamoto Ryuichi
1685,Jibiki Soyo
1686,Kawarada Yuichi
1687,Hisatomi Daisuke
1688,Miyata Shinji
