PlayerId,OpponentId,IsBlack,PlayerLoss,OpponentLoss,PlayerScore,PlayerIsWin,PlayerWLD,Transcript,TournamentId,Year
2836,1436,1,"[ 0  0  0  0  0  0  0  0  2  0  0  0  2  0  0  0  6  2  0  0  2  1  6  3
  9  0  0  1  0  1 10  1  4  0  0  0  2  0  4  0 10  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  0  2  1  0  0  0  0
  0  0  1  0  0  0  0  0  0  0  0  2  0  0  0  6  0  0  0  0  0  0  0  2
  0  0  6 10  0  0  0  0  0  2  0  0]","[  0   0   0   0   0   0   0   0   0  -2  -2  -2  -2  -4  -4  -4   0  -6
  -8  -6  -5  -7  -8 -14 -17 -26 -26 -25 -26 -26 -27 -37 -38 -42 -42 -42
 -40 -42 -42 -46 -40 -50 -50 -50 -50 -50 -50 -50 -48 -48 -48 -42 -32 -32
 -32 -32 -32 -32 -30 -32]","[ 0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[ 0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.
  0.  -0.5  0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5f6e6f4g5e7e3f3d3h6g3c6g6c4f7f8b5e2g4f2d2c5e8d8c3d6d7b6b4c1d1g8f1h5c7h4a6c8g7a3a5b8b7h3g2h7b1h2e1g1h1c2b2h8b3a7a8a2a1a4,163,2006
2836,1708,1,"[ 0  0  0  0  0  0  2  0  0  0  0  0  6  0  4  0  0  0  9  1  4  0  0  0
  0  0  0  0  0  0  0  0 10  0  0  0  0  0  0  0  6  0  0  0  0  0  0  0
  0  0 12  0  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  8  0  0  0  1  5  4  0  0  0  0  0  0
  3  0  3  1  1  0  1  3  0  0  0  0  0  0  0  0  0  0  0 24  0  0  0 14
  0  0  0  0  0  2  0  8  0  0  0  0]","[  0   0   0   0   0   0   0  -2  -2  -2  -2  -2   6   0   0  -4  -3   2
   6  -3  -4  -8  -8  -8  -8  -5  -5  -2  -1   0   0   1   4  -6  -6  -6
  -6  -6  -6  -6  -6 -12 -12 -12  12  12  12  12  26  26  26  14  14  14
  16  16  24  24  24  24]","[ 0  0  0  0  0  0  0 -1 -1 -1 -1 -1  1  0  0 -1 -1  1  1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1  0  0  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1]","[ 0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.  -1.   0.5  0.
  0.5  0.  -1.   0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 -0.5  0.  -0.5  0.   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.  -1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5f6e6f4e3c5g5g3g4f3e2f2d2d3g6h4f1d7c4h5e7d6h6g2c8e8b5d8h1b8h2a5f7c2h3c6c3d1e1c1a6a7b6c7b4a4b3f8g7g1b1h8g8h7a8b2a3a2b7a1,163,2006
