PlayerId,OpponentId,IsBlack,PlayerLoss,OpponentLoss,PlayerScore,PlayerIsWin,PlayerWLD,Transcript,TournamentId,Year
2765,1436,1,"[ 0  0  2  0  2  0  7  0  0  0  2  0  0  0  2  0  5  1  3  0  0  0  6  0
 10  1  0  0  5  2  0  3  0  0  2  0  0  0  0  0  0  0  4  0  2  0  0  0
  8  0  2  0  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  1  0  0  0  0  2  3  0  3  0  0  0  0  1  2  0  1
  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  0  4
  0  0  0  0  0  0  0 22  0  0  0  0]","[  0   0   0  -2  -2  -4  -4 -11 -10 -10 -10 -12 -12 -10  -7  -9  -6 -11
 -12 -15 -15 -14 -12 -18 -17 -27 -28 -28 -26 -31 -33 -33 -36 -36 -36 -38
 -38 -38 -38 -38 -38 -38 -38 -42 -42 -44 -40 -40 -36 -44 -44 -46 -46 -46
 -46 -46 -24 -24 -24 -24]","[ 0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]",f5d6c5f4d3e3f6e6f7c6c4e7c7c2d2c1d1e1g4c3f2f3e2b6b3b5e8b4d7c8a5d8a6f8b2g8a4b1b8a8g7g5h5h8g6h7h6h3h4a1a2a3h2g1g2f1g3h1b7a7,295,2013
2765,1935,0,"[ 0  0  0  0  0  2  0  5  0  7  0  9  0  6  0  0  0  0  0  0  0  2  2  0
  0 11  2  0  0  0  0  2  0 10  0 22  0  0  0  0  0  0  0  2  0  2  0  0
  0  0  0  0  0  0  0 20  0  0  0  0]","[ 0  0  0  0  0  0  0  0  6  0  5  0  0  0  7  1  2  0  0  0  0  0  0  0
  2  0  0  0  2  1  0  0  4  0 34  0  0  0  0  0  0  0  0  0  0  0  0  0
  4  0  6  0  0  0  4  0  0  0  0  0]","[  0   0   0   0   0   0  -2  -2  -7  -1  -8  -3 -12 -12 -18 -11 -10  -8
  -8  -8  -8  -8 -10 -12 -12 -10 -21 -23 -23 -21 -20 -20 -22 -18 -28   6
 -16 -16 -16 -16 -16 -16 -16 -16 -18 -18 -20 -20 -20 -16 -16 -10 -10 -10
 -10  -6 -26 -26 -26 -26]","[ 0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[ 0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.  -1.   1.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5f6e6f4g5g6g4c6e7h4h3h6g3f7h5h2f8f2d6f3e3d8e8d2c8d3c5b6e2f1c4b5e1c3g1d7c7d1c1c2b1b2b4a4a1a2b3a3a5a7a6b7a8b8g2g7h8g8h7h1,166,2006
