PlayerId,OpponentId,IsBlack,PlayerLoss,OpponentLoss,PlayerScore,PlayerIsWin,PlayerWLD,Transcript,TournamentId,Year
1480,191,1,"[ 0  0  0  0  0  0  0  0  2  0  2  0  9  0  0  0  0  3 13  0  0  1  0  2
  0  0  5  4  9  1  0  0 22  0  0  0  0  0 26  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0
  2  6  0  0  0  0  1  0  0  0  0  0  0 24  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0]","[  0   0   0   0   0   0   0   0   0  -2  -2  -4  -4 -13 -12 -12 -12 -12
 -15 -28 -28 -27 -28 -28 -30 -28 -22 -27 -31 -40 -41 -40 -40 -62 -62 -62
 -62 -62 -38 -64 -64 -64 -64 -64 -64 -62 -62 -62 -62 -62 -62 -62 -62 -62
 -62 -62 -62 -62 -62 -62]","[ 0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]",f5f6e6f4e3c5c4d6e7d7c6b6g5f7e8f8g8g6a7h4d8g4b5f3g3a5b4a3a4c8b8a6h5a8h3h8c7d3c3b7g7h7a2h6b3c2b2c1a1b1d2f2d1g1f1e1h2g2e2,54,2002
1480,1,0,"[ 0  0  0 10  0  1  0  8  0  0  0  1  1  4  1 10  7  6  7 18  0  0  0  0
  0  0  0  0  1  0  0  1  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0]","[0 0 2 0 0 0 0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[  0   0   0   2  -8  -8  -9  -9 -17 -11 -11  -8  -9 -10 -14 -15 -25 -32
 -38 -45 -63 -63 -63 -63 -63 -63 -63 -63 -63 -64 -64 -63 -64 -64 -64 -60
 -60 -60 -64 -64 -64 -64 -64 -64 -64 -64 -64 -64 -64 -64 -64 -64 -64 -64
 -64 -64 -64 -64 -64 -64]","[ 0  0  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[ 0.   0.  -0.5  1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5d6c5f6e6b6b5b4c6c7c4e7d7g5f8f4a6a5a4f7a3b3a7b7e8d8a8g8c8b8h8g7a2b2c3e3f2d3d2e2a1c1g6g2h5h6h7e1c2b1d1h2g4,149,2001
