PlayerId,OpponentId,IsBlack,PlayerLoss,OpponentLoss,PlayerScore,PlayerIsWin,PlayerWLD,Transcript,TournamentId,Year
3504,428,1,"[ 0  0  4  0  6  0  0  0  0  0  5  0  0  1  6  0  6  2  4  1  4  0 17  0
 15  1  0  2  0  9  0  0  2  0  0  0  0 12  0  0  0  4  0  0  0  0  0  0
  4  0  0  0  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  1  0  0  0  0  0  0  2  0  0  6  0  0  0  0  0  5  0  0
  0  0  2  0 21  0  0  2  0  0  4  0  2  0  2  0  4  0  4  0  0  0  0  4
  0  0  0  0  0 10  0  2  0  0  0  0]","[  0   0   0  -4  -4 -10  -9  -9  -9  -9  -9 -14 -14 -12 -13 -19 -13 -19
 -21 -25 -26 -30 -25 -42 -42 -57 -58 -56 -58 -37 -46 -46 -44 -46 -46 -42
 -42 -40 -52 -50 -50 -46 -50 -46 -46 -46 -46 -46 -42 -46 -46 -46 -46 -46
 -36 -36 -34 -34 -34 -34]","[ 0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]",f5d6c6f4f3e3c4d3c5e6f2e2c3d2f6g5g3g4h3h5d1c1g6e1c2f1g2g1b6a6b5a5b4a4e7b3d7e8b1b2c7d8b8b7a1a2a3f7f8a7h7a8c8h2h1g8g7h8h6h4,18,2017
3504,189,0,"[0 0 0 0 0 8 0 0 0 2 0 2 0 0 1 6 0 1 0 0 0 7 0 6 1 0 2 5 0 3 1 8 0 6 0 2 0
 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0]","[0 0 0 0 0 0 0 0 4 0 0 0 1 1 0 0 2 0 2 1 3 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0
 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 2 0 8 0 2 0 0]","[  0   0   0   0   0   0  -8  -8  -8  -4  -6  -6  -8  -7  -6  -7 -13 -11
 -12 -10  -9  -6 -13 -13 -19 -20 -17 -19 -24 -24 -27 -28 -36 -34 -40 -40
 -42 -42 -42 -42 -42 -40 -42 -42 -44 -42 -42 -42 -42 -42 -40 -40 -40 -40
 -38 -38 -30 -36 -34 -34]","[ 0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]",f5d6c3d3c4f3f4b3c5e6c6e3e7d7b4e8f7g4g6g3h3a3b6a6f6b5d2f8f2f1e2e1c2d1g5h6h5b2c1b1a1h4a2h2g1a4a5g2h1c8c7g7h7h8g8d8b7a7b8a8,18,2017
