PlayerId,OpponentId,IsBlack,PlayerLoss,OpponentLoss,PlayerScore,PlayerIsWin,PlayerWLD,Transcript,TournamentId,Year
3361,3329,1,"[ 0  0  2  0  0  0  0  0  0  0  4  0  4  0  0  0  0  0  0  0 11  0  4  0
 15  0  0  3  1  0 13  0  0  0  0  0  6  0  0  0  0  0  0  0  0  0  0  0
  0  0  2  0  8  0  4  0  0  0  0  0]","[ 0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0
  0  1  2  0  0  0  0 13  0  0  0  2  0  0  0  0  0  0  0  0  0  2  0  0
  0  2  0  8  0 12  0  0  0  0  0  0]","[  0   0   0  -2  -2  -2  -2  -2   0   0   0  -4  -4  -8  -8  -8  -8  -8
  -5  -5  -5 -16 -16 -20 -20 -35 -34 -32 -35 -36 -36 -49 -36 -36 -36 -36
 -34 -40 -40 -40 -40 -40 -40 -40 -40 -40 -38 -38 -38 -38 -36 -38 -30 -38
 -26 -30 -30 -30 -30 -30]","[ 0  0  0 -1 -1 -1 -1 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[ 0.   0.   0.5  0.   0.   0.   0.  -0.5  0.   0.   0.5  0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5d6c5f4e3c6d3g5e6f6g4c4h5c3b4b3b5a5a4a3c2b6a6a7c7d7d8e7e8f7g6f8g8c8b8b2b7c1g7h8h6a8a1a2b1h7d1d2e2f3f2h4g2e1f1g3h3g1h1h2,399,2018
3361,3360,0,"[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  0  2  0  0  2  0
  0  0  1  2  2  4  0  0  0  8  0 14  0  0  0  0  0  4  0  0  0 32  0  0
  0  0  0  0  0  0  0  0  0  0  0  0]","[ 0  0  2  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  1
  1  1  0  0  0  0  3  1  6  0  2  0  4  0  0  0  0  0  4  0 12  0  2  0
  2  0  8  0  0  0  0  0  0  0  0  0]","[  0   0   0   2   2   2   2   2   2   2   2   2   2   5   5   5   2   2
   2   2   0   0   0  -2  -1   0   1   0  -2  -4  -8  -5  -4   2  -6  -4
 -18 -14 -14 -14 -14 -14 -18 -14 -14  -2 -34 -32 -32 -30 -30 -22 -22 -22
 -22 -22 -22 -22 -22 -22]","[ 0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0 -1
 -1  0  1  0 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[ 0.   0.  -0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.5  0.   0.   0.5  0.  -0.5 -0.5  0.5  0.5
  0.   0.   0.   0.  -1.   1.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5d6c5f4e3c6d3f6e6d7g4c4b4g3g5b3g6c3f7a5e7d2c8f2e2e8c1f3f1f8c2h3h4e1d1h5h7h2b2g2a3g1a4b1a6b5a1a2d8b8g8h8h1h6b6a7c7a8b7g7,373,2016
