PlayerId,OpponentId,IsBlack,PlayerLoss,OpponentLoss,PlayerScore,PlayerIsWin,PlayerWLD,Transcript,TournamentId,Year
1910,1533,1,"[ 0  0  0  0  0  0  0  0  0  0  4  0  2  0 13  0  0  0  0  0 12  2  0  1
  4  0  0  0  0  3 17  0  8  2  4  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0]","[0 0 0 0 0 0 0 0 0 2 0 0 0 9 0 0 0 1 0 0 0 0 4 0 0 0 2 0 2 0 0 4 0 0 0 0 0
 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0]","[  0   0   0   0   0   0   0   0   0   0   2  -2  -2  -4   5  -8  -8  -8
  -7  -7  -7 -19 -21 -17 -18 -22 -22 -20 -20 -18 -21 -38 -34 -42 -44 -48
 -48 -48 -48 -48 -48 -48 -48 -48 -44 -44 -44 -40 -40 -40 -40 -40 -40 -40
 -38 -38 -38 -38 -38 -38]","[ 0  0  0  0  0  0  0  0  0  0  1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[ 0.   0.   0.   0.   0.   0.   0.   0.   0.  -0.5  1.   0.   0.  -1.
  1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5d6c3d3c4f4f6g5e6f7h5h6h7c5e3g3d7c6g6g4b5h4h3e7d8f8f2b6f3c7c8a5a4a3a7a6a2e8g8b7a8b8h8b4h2g2h1e2g7g1f1e1d1b3d2c2b1b2c1a1,7,2003
1910,107,1,"[ 0  0  0  0  0  0  0  0  0  0  2  0  2  0  0  0  0  0  7  0  0  1  0  0
  3  0  0  0  9  0  0  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0
  0  0 12  0  0  0  0  0  0  0  0  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
 2 0 0 0 2 0 0 0 0 0 4 0 8 0 0 0 0 0 0 0 0 0 0]","[  0   0   0   0   0   0   0   0   0   0   0  -2  -2  -4  -4  -4  -4  -4
   0  -7  -7  -7  -8  -8  -8 -11 -11 -11 -10 -19 -19 -18 -22 -26 -26 -26
 -26 -26 -24 -24 -24 -24 -22 -22 -22 -22 -22 -24 -20 -20 -12 -24 -24 -24
 -24 -24 -24 -24 -24 -24]","[ 0  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.
  0.   0.   0.  -0.5  0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0. ]",f5d6c3d3c4f4f6f3e6e7c6g6g5f7g3h5g4e3f2c5f8h4h3h2h6h7c7e2b5d7d8e8f1d1g2c8b8b3e1h1g1d2b2b6b4c2c1a5a4a6a7a3a2g7h8g8a8b7a1b1,7,2003
