PlayerId,OpponentId,IsBlack,PlayerLoss,OpponentLoss,PlayerScore,PlayerIsWin,PlayerWLD,Transcript,TournamentId,Year
1863,55,1,"[ 0  0  0  0  0  0  0  0  6  0  1  0  0  0  1  0  0  0  0  0  8  0  0  0
  0  1  1  2  1  0  0  1 20  0  2  0  4  0  0  0  0  0  0  0  4  0  0  0
  0  0 12  0  0  0  0  0  0  0  0  0]","[0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 8 0 2 0 0 0 0 0 0 0 0 0 0]","[  0   0   0   0   0   0   0   0   0  -6  -6  -7  -3  -3  -3  -4  -4  -4
  -4  -4  -3 -11 -11 -10 -10 -10 -11 -12 -14 -15 -15 -15 -16 -36 -36 -38
 -38 -42 -42 -42 -38 -38 -38 -38 -38 -42 -42 -42 -34 -34 -32 -44 -44 -44
 -44 -44 -44 -44 -44 -44]","[ 0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]","[0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]",f5d6c3d3c4f4c5b3d2c6b5b4e3b6f3e6a4f6a5e2f1a3a2c1e7g4h4d7a6g6f7c7h5f8d8e8g8b8d1c2b1f2b2e1g2a1b7h6h7g1g5a7h2h1h3g3a8c8h8g7,9,2001
1863,24,1,"[ 0  0  0  0  0  0  2  0  0  0  0  0  3  0  0  0  0  0  4  2  2  2  0  3
  4  1  0  2  0  1  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0 24  0
  0  0  0  0  0  0  0  0 10  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  2  0
  0  0  0  0  2  0  0  0  0  6  0  0  0  0  0  6  0  6  0 10  0  0  0 20
  0  0  0  0  0  0  0 18  0  0  0  0]","[  0   0   0   0   0   0   0  -2  -2  -2  -2  -2  -2  -5  -5  -5  -4  -4
  -4  -8 -10 -12 -14 -12 -15 -19 -20 -20 -22 -20 -21 -21 -24 -24 -18 -18
 -18 -18 -18 -18 -12 -12  -6  -6   4   4   4 -20   0   0   0   0   0   0
   0   0  18   8   8   8]","[ 0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1  1 -1
  0  0  0  0  0  0  0  0  1  1  1  1]","[ 0.   0.   0.   0.   0.   0.   0.5  0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.  -1.   0.   0.   1.  -0.5  0.   0.   0.   0.   0.   0.   0.  -0.5
  0.   0.   0. ]",f5f6e6f4e3c5g5g3g4f3e2h6h3d6g6d2d3h5f7e7e8h4h7d7d1d8c8c7c4c3b4f8g8f2f1e1b8b3c2a3a5a4a2b5a6b6a7b7c6g2h2h1g1h8a8b2b1c1a1g7,9,2001
